,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
7713,Chasing Savings, Coupons ,Seed/Startup,USA,http://www.chasingsavings.com,|News|Search Marketing|Coupons|Advertising|,Alpharetta
43594,Unreasonable Adventures,,Seed/Startup,USA,http://unreasonableadventures.com/,,Boulder
47256,Zazoom, Video Streaming ,Seed/Startup,USA,http://zazoomvideo.com,|Video|Video Streaming|Games|,New York
44138,Venda, E-Commerce ,Seed/Startup,GBR,http://www.venda.com,|E-Commerce|,London
40228,t-Art, E-Commerce ,Seed/Startup,ARG,http://www.t-artdesigns.com,|Fashion|Crowdsourcing|E-Commerce|,Buenos Aires
13258,Entertainment Magpie, Music ,Seed/Startup,GBR,,|Music|,Macclesfield
20591,Inverted Edge, Fashion ,Seed/Startup,SGP,http://InvertedEdge.com,|E-Commerce|Fashion|,Singapore
40745,Teburu, Software ,Seed/Startup,USA,http://www.teburu.com,|SaaS|Restaurants|Software|,Tampa
16259,GenNext Media,,Seed/Startup,USA,,,Herndon
39079,Staples, Enterprise Software ,Seed/Startup,USA,http://www.staples.com,|Tablets|Enterprise Software|,Framingham
14146,Eyeview, Online Video Advertising ,Seed/Startup,USA,http://www.eyeviewdigital.com,|Online Video Advertising|Video|Advertising|,New York
12057,Duvas Technologies, Hardware + Software ,Seed/Startup,GBR,http://www.duvastechnologies.com,|Hardware + Software|,Ashford
20759,Ipracom, Software ,Seed/Startup,FRA,,|Software|,Massy
25595,Miappi, Mobile ,Seed/Startup,GBR,http://www.miappi.com,|Apps|Software|Brand Marketing|Social Media|Mobile|,London
36711,Shiny Media, News ,Seed/Startup,GBR,http://www.shinymedia.com,|News|,London
34626,RewardIt.com, Video ,Seed/Startup,USA,http://www.rewardit.com,|Video|Games|Incentives|Gambling|Curated Web|,Cold Spring Harbor
994,LEGRAND,,ScaleUp/Mature,EU,,,
9028,Colyar Consulting Group, Software ,Seed/Startup,USA,http://colyarconsulting.com,|Software|,Phoenix
28846,NYCareerElite,,Seed/Startup,,,,
45356,Warranty Life, Curated Web ,Seed/Startup,CAN,http://www.warrantylife.com,|Curated Web|,Burnaby
14994,Fleet Management Solutions,,Seed/Startup,USA,http://www.fmsgps.com,,San Luis Obispo
11475,Dishable, Consumer Internet ,Seed/Startup,USA,http://www.dishable.com/,|Consumer Internet|,Chicago
23070,Lexar Media, Hardware + Software ,Seed/Startup,USA,http://www.lexar.com,|Hardware + Software|,Fremont
14308,Fancorps, Social Media ,Seed/Startup,USA,http://www.fancorps.com,|Brand Marketing|Social Media Marketing|Social Media|,Dallas
43755,Usabilla, Reviews and Recommendations ,Seed/Startup,NLD,http://usabilla.com,|Web Design|Testing|Reviews and Recommendations|User Experience Design|Usability|Curated Web|,Amsterdam
3251,Artspace, E-Commerce ,Seed/Startup,USA,http://artspace.com,|E-Commerce|,New York
3263,Arvia Technology,,Seed/Startup,GBR,http://www.arviatechnology.com,,Daresbury
46157,Withings, Hardware + Software ,Seed/Startup,FRA,http://www.withings.com/fr/index/?taranim=5,|Hardware + Software|,Issy-les-moulineaux
20388,Interactive Performance Solutions, Software ,Seed/Startup,USA,http://www.ipspods.com,|Software|,Shoreline
40382,Takipi, Analytics ,Seed/Startup,ISR,http://www.takipi.com,|Analytics|,Tel Aviv
13611,Ethonova, Nonprofits ,Seed/Startup,USA,http://www.ethonova.org,|Nonprofits|,San Francisco
31844,POLYBONA, Photography ,Seed/Startup,CHN,http://www.polybona.com.cn,|Photography|,Beijing
2506,AntVoice, E-Commerce ,Seed/Startup,FRA,http://www.antvoice.com,|Media|E-Commerce|Software|,Paris
18004,Health eVillages, Biotechnology ,Seed/Startup,USA,http://healthevillages.org,|Biotechnology|,Reading
36982,SightCine, Games ,Seed/Startup,,http://www.sightcine.com,|Games|,
31851,Polymath Ventures, Transportation ,Seed/Startup,COL,http://www.polymathv.com,|Automotive|Transportation|Education|Employment|Financial Services|,Bogotá
36616,SharePlow, Curated Web ,Seed/Startup,,http://www.shareplow.com,|File Sharing|Graphics|PaaS|Curated Web|,
19347,iKnowl, Education ,Seed/Startup,PAK,http://www.iknowl.co,|Education|,
34373,Rerecipe, Curated Web ,Seed/Startup,USA,http://rerecipe.com,|Networking|Recipes|Curated Web|,San Francisco
39970,Sway, Social Media ,Seed/Startup,USA,http://www.swayonline.com,|Sales and Marketing|Social Media|Advertising|,Middleton
46255,Wordeo, Social Media ,Seed/Startup,GBR,http://www.wordeo.com,|Social Media|,London
44850,Vital Metrix, Medical ,Seed/Startup,USA,,|Medical|,Huntsville
20744,IPM Safety Services, Biotechnology ,Seed/Startup,USA,http://www.indipharm.com,|Biotechnology|,Wayne
29463,Opax, Security ,Seed/Startup,NOR,http://www.opax.com,|Security|,Lillestrøm
1039,AdInnovation, Mobile ,Seed/Startup,JPN,http://adinnovation.co.jp,|Mobile|,Tokyo
13778,Eversnap, Weddings ,Seed/Startup,USA,http://eversnapapp.com,|Privacy|Travel|Weddings|Events|Video|Photo Sharing|Mobile|,Sunnyvale
44960,vLine, Video Conferencing ,Seed/Startup,USA,http://vline.com,|Video Conferencing|Enterprise Software|,Palo Alto
45098,Votigo, Photography ,Seed/Startup,USA,http://www.votigo.com,|Advertising|Social Media|Web Tools|Facebook Applications|Photography|Video|Internet|Contests|Content|Enterprise Software|,Boulder
18596,Honey, News ,Seed/Startup,USA,http://honey.is,|News|File Sharing|B2B|Networking|Media|Social Media|Enterprises|Enterprise Software|,Brooklyn
33936,RED - Recycled Electronics Distributors, Specialty Retail ,Seed/Startup,USA,,|Specialty Retail|,Greenville
2048,Altor Networks, Security ,Seed/Startup,USA,http://www.altornetworks.com,|Security|,Redwood City
83,1RP Media,,Seed/Startup,USA,,,Los Angeles
16394,GetAutoBids,,Seed/Startup,,,,
33464,R2 Semiconductor, Semiconductors ,Seed/Startup,USA,http://www.r2semi.com,|Semiconductors|,Sunnyvale
43255,Uber Entertainment, Games ,Seed/Startup,USA,http://uberent.com,|Games|,Kirkland
21035,Ivycorp, Apps ,Seed/Startup,USA,http://www.ivytalk.com,|Apps|iPhone|Android|Information Technology|Sales and Marketing|Email|SMS|Wireless|Mobile|Messaging|,Redmond
30535,Paybubble, Mobile Payments ,Seed/Startup,,http://www.paybubble.com,|Mobile Payments|Mobile|,
39790,Superfeedr, Real Time ,Seed/Startup,USA,http://superfeedr.com,|Real Time|Software|,San Francisco
11947,DroidUnit.net, Networking ,Seed/Startup,USA,http://www.droidunit.net,|Web Hosting|Networking|,Houston
32896,Punchbowl, Software ,Seed/Startup,USA,http://www.punchbowl.com,|Events|Software|,Framingham
12230,East Central Mental Health, Health and Wellness ,Seed/Startup,USA,,|Health and Wellness|,Troy
36341,SensorTech, Semiconductors ,Seed/Startup,USA,http://www.sensortechllc.com,|Semiconductors|,Greenville
36203,SemaConnect, Clean Technology ,Seed/Startup,USA,http://www.semaconnect.com,|Clean Technology|,Bowie
5437,Bloggerce, E-Books ,Seed/Startup,ISR,http://www.bloggerce.com,|E-Books|Blogging Platforms|Software|,Jerusalem
39751,Sunovia, Clean Technology ,Seed/Startup,USA,http://www.sunoviaenergy.com,|Clean Technology|,Sarasota
40013,Swink.tv, Curated Web ,Seed/Startup,USA,http://swink.tv,|Curated Web|,San Francisco
12621,Egghead Interactive, Internet Marketing ,Seed/Startup,USA,http://www.eggheadinc.com,|Mobile Advertising|App Marketing|Video|Internet Marketing|Advertising|,Sacramento
3768,AVA Solar, Clean Technology ,Seed/Startup,USA,http://www.avasolar.com,|Clean Technology|,Loveland
15347,Foresight Biotherapeutics, Biotechnology ,Seed/Startup,USA,http://foresightbio.com,|Biotechnology|,New York
35568,Sarta,,Seed/Startup,COL,http://www.sarta.com.co/,,Bogotá
27385,NanoSight, Nanotechnology ,Seed/Startup,GBR,http://www.nanosight.com,|Nanotechnology|,
14862,FitBionic, Biotechnology ,Seed/Startup,USA,http://www.fitbionic.com,|Biotechnology|,Boulder
37818,snapp.me, MicroBlogging ,Seed/Startup,USA,http://snapp.me,|Video Streaming|Mobile|MicroBlogging|Hardware|Photography|,Santa Monica
19283,IGLOO Software, Software ,Seed/Startup,CAN,http://www.IGLOOSoftware.com,|SaaS|Internet|Web Tools|Content|Collaboration|Social Network Media|Software|,Kitchener
24162,"Lytx, Inc.", Hardware + Software ,Seed/Startup,USA,http://www.lytx.com,|Hardware + Software|,San Diego
30205,Panda Security, Web Development ,Seed/Startup,ESP,http://www.pandasecurity.com,|Web Development|IT and Cybersecurity|Information Technology|Security|,Bilbao
6775,Campus Connectr, Social Media ,Seed/Startup,USA,http://www.campusconnectr.com,|Social Media|,Greenville
44667,Virgin Mobile Latin America, Mobile ,Seed/Startup,,http://www.virginmobilelatam.com,|Mobile|,
1695,VEON,,ScaleUp/Mature,EU,,,
11329,"Digital Room, Inc", Printing ,Seed/Startup,USA,http://www.digitalroominc.com,|Printing|E-Commerce|,Van Nuys
38840,Spot On Networks, Wireless ,Seed/Startup,USA,http://www.spotonnetworks.com/,|Wireless|Mobile|,New Haven
13620,Etive Technologies, Software ,Seed/Startup,GBR,http://etive.org,|Software|,Birmingham
413,Simon Property Group,Real Estate,ScaleUp/Mature,USA,,,
45967,WikiBrains, Digital Media ,Seed/Startup,ISR,http://www.wikibrains.com,|Digital Media|Data Visualization|,Tel Aviv-jaffa
7455,Cellum Group, Mobile Shopping ,Seed/Startup,HUN,http://www.cellum.com,|B2B|Payments|QR Codes|Mobile Shopping|Security|Mobile Commerce|Mobile Payments|Mobile|,Budaörs
31244,Piggybackr, Nonprofits ,Seed/Startup,USA,http://www.piggybackr.com,|Nonprofits|,San Francisco
33877,Receept,,Seed/Startup,USA,http://enterchange.cincinnati.com/2012/01/28/now-funded-choremonster-seeks-fun-ease/,,Columbus
45068,Volvant, Lead Generation ,Seed/Startup,USA,http://volvant.com,|Lead Generation|Social Network Media|Analytics|,Palo Alto
8859,Cogito, Analytics ,Seed/Startup,USA,http://www.cogitoinc.com,|Analytics|,Draper
25354,MentorDOTMe,,Seed/Startup,USA,,,Memphis
43488,United Allergy Services, Health Care ,Seed/Startup,USA,http://www.unitedallergyservices.com,|Health Care|,San Antonio
11381,Dimensions IT Infrastructure Solutions, E-Commerce ,Seed/Startup,IND,http://www.diis.co.in/,|E-Commerce|,Pune
13940,ExecOnline, Education ,Seed/Startup,USA,http://execonline.com,|Education|,New York
41731,Thumbtack, Curated Web ,Seed/Startup,,http://www.thumbtack.com,|Service Providers|Curated Web|,
29848,Oryon Technologies, Fashion ,Seed/Startup,USA,http://oryontech.com,|Fashion|,Addison
16808,GlucoSentient, Biotechnology ,Seed/Startup,USA,,|Biotechnology|,Champaign
16173,GeneCapture,,Seed/Startup,USA,http://genecapture.com,,Huntsville
19393,ImaCor, Biotechnology ,Seed/Startup,USA,,|Biotechnology|,Uniondale
9778,Coupoplaces, Location Based Services ,Seed/Startup,GBR,http://www.coupoplaces.co.uk,|Location Based Services|Reviews and Recommendations|Coupons|Curated Web|,London
37434,Skuid, Software ,Seed/Startup,USA,http://www.skuidify.com,|Interface Design|CRM|Software|,Chattanooga
36730,Shipzi, Software ,Seed/Startup,USA,http://www.shipzi.com,|Shipping|Transportation|Network Security|E-Commerce|Cloud Computing|Software|,Orem
28221,NGI, Biotechnology ,Seed/Startup,FRA,http://www.ngicreative.com/index.php,|Biotechnology|,Nantes
5640,bMenu, Mobile ,Seed/Startup,NOR,http://bmenu.com,|Mobile|,Oslo
18653,Horizon Oilfield Services,,Seed/Startup,,http://horizonofs.com/,,
26157,Mobile Media Content,,Seed/Startup,USA,http://mobilemediacontent.com/,,Miami
33583,Raiseworks, Peer-to-Peer ,Seed/Startup,USA,http://www.raiseworks.com,|Peer-to-Peer|Credit|Financial Services|Crowdsourcing|Crowdfunding|Finance|,New York
37733,Smash Bucket, Social Media ,Seed/Startup,USA,http://smashbucket.com,|Digital Media|Advertising|E-Commerce|Social Media|Mobile|,Brooklyn
32655,ProRadis,,Seed/Startup,BRA,http://www.proradis.com.br/,,São Paulo
10485,D8A Group, Big Data ,Seed/Startup,USA,http://d8a.com,|Public Safety|Predictive Analytics|Data Visualization|Big Data|,Philadelphia
18980,I-CAN Systems, Enterprise Software ,Seed/Startup,ARE,http://i-can.co,|Enterprise Software|,Dubai
14500,Fältcommunications AB, Internet of Things ,Seed/Startup,SWE,http://www.faltcom.com,|Internet of Things|M2M|,Umeå
4724,BetaStudios, E-Commerce ,Seed/Startup,KOR,http://betastudios.net/,|E-Commerce|,Seoul
716,GENSIGHT BIOLOGICS,,ScaleUp/Mature,EU,,,
25151,MedPassage, Hospitals ,Seed/Startup,USA,http://www.medpassage.com,|Hospitals|E-Commerce|,Denver
12403,Ecommo, Small and Medium Businesses ,Seed/Startup,GBR,http://www.ecommo.com,|Small and Medium Businesses|E-Commerce|,Montrose
45856,whistleBox, Games ,Seed/Startup,USA,http://www.whistlebox.com,|Games|,Brooklyn
43676,Upworthy, Social Media ,Seed/Startup,USA,http://www.upworthy.com,|Social Media|,New York
15345,ForeScout Technologies, Security ,Seed/Startup,USA,http://www.forescout.com,|Security|,Campbell
4042,Azumio, Software ,Seed/Startup,USA,http://www.azumio.com,|Software|,Palo Alto
44727,VirtualU, Technology ,Seed/Startup,USA,http://www.virtualu.co,|Technology|Fashion|Health and Wellness|,Blacksburg
27440,Narvar, E-Commerce ,Seed/Startup,,http://www.narvar.com,|E-Commerce|Transportation|Shipping|Supply Chain Management|Retail|SaaS|Enterprise Software|,
44109,Veles Plus LLC, Ticketing ,Seed/Startup,RUS,http://www.frunapa.ru,|Ticketing|Entertainment|Curated Web|,Saint Petersburg
24637,Markit, Finance ,Seed/Startup,GBR,http://markit.com,|Finance|,London
13702,Eventbrite, Events ,Seed/Startup,USA,http://www.eventbrite.com,|Events|Curated Web|,San Francisco
28083,Newzulu USA, News ,Seed/Startup,USA,http://www.newzulu.us,|Crowdsourcing|Journalism|News|,New York
44579,Viki, Television ,Seed/Startup,KOR,http://www.viki.com,|Entertainment|Translation|Crowdsourcing|Television|Video on Demand|Video|Curated Web|,Seoul
33939,Red Ambiental, Clean Technology ,Seed/Startup,CHE,http://www.redambiental.com.mx,|Clean Technology|,Mex
44459,Vidatronic, Semiconductors ,Seed/Startup,,http://vidatronic.com,|Semiconductors|,
46024,Windcentrale, Clean Technology ,Seed/Startup,NLD,http://windcentrale.nl,|Clean Technology|,Amsterdam
44944,Vizalytics Technology, Consulting ,Seed/Startup,USA,http://www.vizalytics.com/,|Enterprise Application|Consulting|Business Analytics|,New York
32129,Preact, Software ,Seed/Startup,USA,http://www.preact.com,|Analytics|Big Data|Tech Field Support|Customer Service|Software|,San Francisco
32749,Proviation, Public Transportation ,Seed/Startup,GBR,http://www.proviationshop.co.uk,|Public Transportation|,Dunstable
1636,TRANSGENE,,ScaleUp/Mature,EU,,,
30647,Pearlfection, Fashion ,Seed/Startup,DEU,http://www.pearlfection.de,|Fashion|,München
39213,SteelHouse, Advertising ,Seed/Startup,USA,http://www.SteelHouse.com,|Analytics|Retail|E-Commerce|Advertising|,Culver City
29051,OGSystems,,Seed/Startup,USA,http://www.ogsystems.com/,,Chantilly
35166,RuffaloCODY, Consulting ,Seed/Startup,USA,http://www.ruffalocody.com,|Consulting|,Cedar Rapids
11837,Dragon Army, Apps ,Seed/Startup,USA,http://dragonarmy.com/,|Apps|,Atlanta
37652,SmartAsset, Sales and Marketing ,Seed/Startup,USA,http://www.smartasset.com/welcome,|Sales and Marketing|Finance|,New York
1547,Aileron Therapeutics, Biotechnology ,Seed/Startup,USA,http://www.aileronrx.com,|Biotechnology|,Hardwick
12454,EDAN, Manufacturing ,Seed/Startup,CHN,http://www.edan.com.cn,|Manufacturing|,Shenzhen
5712,Bombfell, E-Commerce ,Seed/Startup,USA,http://www.bombfell.com,|E-Commerce|Fashion|,New York
8414,ClickDiagnostics,,Seed/Startup,USA,http://clickdiagnostics.com,,Lexington
23762,LogLogic, Security ,Seed/Startup,USA,http://www.loglogic.com,|Security|,San Jose
9165,Complete Holdings Group, Software ,Seed/Startup,USA,http://completeholdingsgroup.com,|Software|,Franklin
1654,Ajubeo,,Seed/Startup,USA,http://www.ajubeo.com,,Boulder
2247,Ampio Pharmaceuticals, Biotechnology ,Seed/Startup,USA,http://ampiopharma.com,|Biotechnology|,Greenwood Village
44487,VideoJax, Games ,Seed/Startup,USA,,|Games|,San Francisco
3343,Asoka, Hardware + Software ,Seed/Startup,USA,http://www.asokatech.com,|Hardware + Software|,Santa Clara
23406,Lipella Pharmaceuticals, Biotechnology ,Seed/Startup,USA,http://www.lipella.com,|Biotechnology|,Pittsburgh
5738,Boni, Mobile ,Seed/Startup,TUR,http://boni.me,|Loyalty Programs|Content|Location Based Services|Retail|Mobile|,Istanbul
34465,Resumesimo.com, Curated Web ,Seed/Startup,CZE,http://www.resumesimo.com,|Employment|Curated Web|,Prague
3185,Arrowhead Automated Systems, Aerospace ,Seed/Startup,USA,,|Automotive|Aerospace|Manufacturing|,Saint Clair Shores
1044,ADITU SAS, Analytics ,Seed/Startup,FRA,http://www.aditu.fr,|Analytics|,Bidart
27116,myMatrixx, Biotechnology ,Seed/Startup,USA,http://mymatrixx.com,|Biotechnology|,Tampa
15178,Fly me to the Moon, News ,Seed/Startup,CAN,http://www.flymetothemoon.ca,|Media|News|,Toronto
11293,Digital Folio, Enterprise Software ,Seed/Startup,USA,http://www.digitalfolio.com,|Mobile Shopping|Online Shopping|Comparison Shopping|Enterprise Software|,Greenwood Village
