,domain,name,twitter,linkedin
298,cunamutual.com,CUNA Mutual Group,cunamutualgroup,cunamutualgroup
302,synovus.com,Synovus Financial Corp.,synovus,synovus
306,storagetek.com,Storage Technology,oracle,oracle
307,compuware.com,Compuware,compuware,compuware
309,dollartree.com,Dollar Tree Stores,dollartree,dollartree
316,sungard.com,SunGard Data Systems,SunGard,SunGard
318,safeguard.com,Safeguard Scientifics,Safeguard,Safeguard
320,ch2m.com,CH2M Hill,intent,intent
321,valspar.com,Valspar,Valspar,Valspar
322,flowserve.com,Flowserve,flowserve,flowserve
324,fiserv.com,Fiserv,fiserv,fiserv
329,jackinthebox.com,Jack in the Box,JackBox,JackBox
332,uhaul.com,Amerco,uhaul,uhaul
335,kennametal.com,Kennametal,kennametal,kennametal
339,natoil.com,National Oilwell,NOVGlobal,NOVGlobal
340,khov.com,Hovnanian Enterprises,khov,khov
342,paychex.com,Paychex,Paychex,Paychex
343,harman.com,Harman Intl. Industries,harman,harman
344,concordefs.com,Concord EFS,FirstData,FirstData
346,energizer.com,Energizer Holdings,energizer,energizer
351,perkinelmer.com,PerkinElmer,PerkinElmer,PerkinElmer
353,landsend.com,Lands' End,LandsEnd,LandsEnd
357,leggmason.com,Legg Mason,leggmason,leggmason
358,level3.com,Level 3 Communications,Level3,Level3
360,lamrc.com,Lam Research,lamresearch,lamresearch
373,atmosenergy.com,Atmos Energy,atmosenergy,atmosenergy
387,twec.com,Trans World Entertainment,officialfye,officialfye
389,nvidia.com,Nvidia,nvidia,nvidia
392,novellus.com,Novellus Systems,lamresearch,lamresearch
393,imshealth.com,IMS Health,intent,intent
395,ea.com,Electronic Arts,share,share
402,boh.com,Pacific Century Financial,bankofhawaii,bankofhawaii
403,dlx.com,Deluxe,shoutlet,shoutlet
407,varco.com,Varco International,NOVGlobal,NOVGlobal
408,amica.com,Amica Mutual Insurance,Amica,Amica
409,milacron.com,Milacron,milacron,milacron
410,intuit.com,Intuit,Intuit,Intuit
413,earthlink.net,EarthLink,earthlink,earthlink
414,ceridian.com,Ceridian,ceridian,ceridian
417,cmgi.com,CMGI,ModusLink,ModusLink
418,tek.com,Tektronix,tektronix,tektronix
423,sealy.com,Sealy,Sealy,Sealy
426,timberland.com,Timberland,Timberland,Timberland
