,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
26807,MSU Business Incubator,,Seed/Startup,RUS,http://inmsu.ru/ru,,Moscow
44574,Vigour.io, Software ,Seed/Startup,DEU,http://vigour.io,|Software|,Berlin
22501,Kutenda, Advertising ,Seed/Startup,USA,http://www.kutenda.com,|Marketing Automation|Internet Marketing|Advertising|,Broomfield
32224,Presence Learning, Education ,Seed/Startup,USA,http://presencelearning.com/,|Education|,San Francisco
657,AccessSportsMedia.com, Sales and Marketing ,Seed/Startup,USA,http://accesssportsmedia.com,|Distribution|Sales and Marketing|Advertising|,Los Angeles
41404,The Redford Drafthouse Theater,,Seed/Startup,,,,
21186,Jayride.com, Transportation ,Seed/Startup,,http://jayride.com,|Transportation|Online Travel|E-Commerce|Travel|,
47363,zePASS, Training ,Seed/Startup,FRA,http://www.zepass.com,|Entertainment|Sports|Ticketing|Events|Concerts|Travel|Training|Marketplaces|E-Commerce|,Lyon
23403,Lionsharp Voiceboard, Speech Recognition ,Seed/Startup,ARM,http://www.lionsharp.com,|Productivity Software|Speech Recognition|Technology|Startups|Presentations|Software|,Yerevan
3085,Ariane Systems, Software ,Seed/Startup,FRA,http://www.ariane-systems.com,|Software|,
29706,Oraya Therapeutics, Biotechnology ,Seed/Startup,USA,http://www.orayainc.com,|Biotechnology|,Newark
1973,AlphaCare Holdings, Biotechnology ,Seed/Startup,USA,http://alphacare.com,|Biotechnology|,Brooklyn
34005,RedFlag Software, Software ,Seed/Startup,USA,http://redflag.com,|Software|,Houston
36227,SemiSouth Laboratories, Electronics ,Seed/Startup,USA,http://www.semisouth.com,|Solar|Electronics|Semiconductors|,Austin
5829,Boostable, Advertising ,Seed/Startup,USA,http://www.boostable.com,|Advertising|,San Francisco
37051,Silex Microsystems, Software ,Seed/Startup,,http://www.silexmicrosystems.com,|Software|,
359,Paycom,Information Technology,ScaleUp/Mature,USA,,,
44230,Verge Advisors, Finance ,Seed/Startup,USA,http://www.vergeadvisors.com,|Finance|,Cambridge
47494,ZIMPERIUM, Mobile Devices ,Seed/Startup,ISR,http://www.zimperium.com,|Mobile Security|Enterprises|Mobile Devices|Mobile|,Tel Aviv
81,AKER HORIZONS,,ScaleUp/Mature,EU,,,
